epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,833.242,0.92436,1.26561,1.29871,0.65863,0.70861,0.70989,0.52549,1.07124,1.20715,1.22972,0.00999015,0.00333005,0.00999015,0.00333005,0.00999015,0.00333005,0.00999015,0.00333005
2,1642.71,0.98257,1.06053,1.31352,0.64042,0.70068,0.72124,0.52129,1.16574,1.20993,1.31984,0.0197922,0.00659742,0.0197922,0.00659742,0.0197922,0.00659742,0.0197922,0.00659742
3,2444.27,1.03664,1.14183,1.35941,0.68582,0.63744,0.70296,0.50193,1.21547,1.25366,1.37108,0.0293963,0.00979878,0.0293963,0.00979878,0.0293963,0.00979878,0.0293963,0.00979878
4,3248.66,1.02534,1.11782,1.34752,0.71336,0.74247,0.74972,0.54232,1.08954,1.0462,1.26093,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,4051.65,0.94756,1.00289,1.2977,0.73975,0.75865,0.7702,0.57264,1.02189,0.95589,1.18569,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,4852.72,0.89737,0.93726,1.26388,0.75809,0.73694,0.78118,0.58845,0.99144,0.93734,1.18785,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,5653.79,0.87376,0.89827,1.24779,0.78837,0.79318,0.81298,0.61476,0.90226,0.84706,1.09156,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,6455.1,0.85229,0.87198,1.23086,0.79477,0.81845,0.83057,0.6408,0.86977,0.79241,1.07028,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,7257.69,0.83446,0.85156,1.22156,0.79071,0.82144,0.83656,0.65083,0.82772,0.7673,1.04636,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,8049.79,0.82445,0.83235,1.21689,0.79987,0.81905,0.83189,0.65178,0.81211,0.74294,1.0299,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,8844.92,0.8161,0.81993,1.20768,0.80234,0.83619,0.84223,0.66108,0.8107,0.7194,1.02837,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,9640.21,0.80228,0.80945,1.20132,0.81758,0.83749,0.84381,0.66772,0.7859,0.70023,1.01725,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,10439.1,0.80219,0.79995,1.19893,0.79984,0.84243,0.84249,0.66071,0.80179,0.70249,1.02058,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,11234.3,0.7914,0.78675,1.19459,0.82476,0.84361,0.84677,0.66581,0.78938,0.69918,1.02208,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,12028.9,0.78829,0.78023,1.18787,0.83061,0.84049,0.8568,0.67908,0.76065,0.66227,0.99065,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,12822.7,0.77852,0.7728,1.18374,0.82366,0.85265,0.85404,0.67957,0.7496,0.65845,0.98651,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,13622.1,0.77813,0.76472,1.18478,0.82244,0.84516,0.85177,0.67925,0.74209,0.65693,0.97944,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,14419.1,0.77137,0.76003,1.17635,0.82969,0.85587,0.85759,0.68303,0.74942,0.64193,0.98391,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,15214.5,0.76166,0.74312,1.17078,0.83867,0.85527,0.85918,0.68639,0.73795,0.63048,0.97088,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,16010.5,0.7572,0.73663,1.1672,0.83349,0.85724,0.8576,0.68876,0.7316,0.63555,0.97111,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,16804.1,0.75737,0.73433,1.16542,0.82716,0.85542,0.85808,0.69013,0.73156,0.62507,0.97243,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,17601.6,0.7574,0.73175,1.16865,0.83349,0.85259,0.85973,0.69212,0.72294,0.61563,0.96595,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,18396.5,0.75019,0.72991,1.16136,0.82887,0.85919,0.86105,0.69231,0.72925,0.62088,0.96895,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,19191.4,0.74513,0.7185,1.15952,0.8355,0.85681,0.86333,0.69654,0.72387,0.61412,0.96262,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,19986,0.74075,0.70998,1.15645,0.83386,0.85562,0.86213,0.69591,0.71766,0.61073,0.95885,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,20781.1,0.74368,0.71593,1.1604,0.83721,0.85462,0.86514,0.69802,0.71649,0.60301,0.95808,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,21579.3,0.73399,0.70199,1.15248,0.83921,0.85824,0.86584,0.69974,0.71356,0.59567,0.95748,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,22375.2,0.7352,0.70272,1.15631,0.84801,0.85711,0.86829,0.70096,0.70495,0.59388,0.95043,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,23169.3,0.73689,0.70174,1.15865,0.8452,0.85955,0.86788,0.70006,0.70394,0.59094,0.9503,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,23965.5,0.73174,0.70452,1.1555,0.84587,0.86061,0.86835,0.7004,0.70299,0.59352,0.95194,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,24762.9,0.72621,0.69304,1.15068,0.84502,0.85909,0.86892,0.70133,0.70046,0.59377,0.95012,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,25560.1,0.72376,0.68797,1.14917,0.84147,0.86743,0.8692,0.70184,0.69934,0.59316,0.95001,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,26358.3,0.71977,0.68056,1.14306,0.84104,0.86826,0.8682,0.70169,0.69884,0.59334,0.95047,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,27155.3,0.72202,0.68442,1.14654,0.84401,0.86306,0.86768,0.70157,0.69853,0.59146,0.95022,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,27950.2,0.71621,0.67559,1.14149,0.84411,0.86149,0.86715,0.70118,0.69899,0.59082,0.95064,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,28745.5,0.71403,0.67252,1.14137,0.84347,0.8634,0.86625,0.7013,0.69714,0.58926,0.94959,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,29540.7,0.7124,0.67206,1.14382,0.84487,0.86223,0.86647,0.70103,0.69588,0.58809,0.94839,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,30337,0.71192,0.66901,1.13683,0.84715,0.86121,0.86701,0.7008,0.69658,0.58701,0.94872,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
