epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1001.82,0.83506,1.84917,0.01201,0.73127,0.76696,0.7943,0.63403,0.893,0.86283,0.02085,0.00999138,0.00333046,0.00999138,0.00333046,0.00999138,0.00333046,0.00999138,0.00333046
2,1976.72,0.87865,0.95152,0.01305,0.75343,0.80851,0.81544,0.62991,0.94745,0.80218,0.02316,0.0197935,0.00659782,0.0197935,0.00659782,0.0197935,0.00659782,0.0197935,0.00659782
3,2947.13,0.96607,1.01913,0.01466,0.73322,0.71379,0.74503,0.56786,1.12478,1.07223,0.02664,0.0293975,0.00979918,0.0293975,0.00979918,0.0293975,0.00979918,0.0293975,0.00979918
4,3917.18,1.01436,1.04254,0.01523,0.73099,0.75766,0.76544,0.58938,1.04371,1.00307,0.02477,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,4887.43,0.9484,0.9579,0.0139,0.79322,0.80019,0.81826,0.64972,0.92437,0.781,0.02121,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,5855.8,0.91136,0.89743,0.0131,0.8209,0.82241,0.83579,0.67019,0.83788,0.74343,0.01855,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,6823.77,0.88898,0.87098,0.01267,0.80599,0.82517,0.83962,0.67784,0.83072,0.68904,0.01827,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,7798.14,0.8709,0.84758,0.01228,0.81614,0.8308,0.85056,0.69217,0.79511,0.6897,0.0173,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,8779.33,0.84858,0.81315,0.01189,0.81935,0.83414,0.84376,0.68828,0.79442,0.69521,0.0175,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,9748.89,0.84218,0.79422,0.01182,0.83533,0.84695,0.85529,0.69856,0.77772,0.6455,0.01707,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,10721.9,0.82012,0.77453,0.01147,0.83926,0.86341,0.86788,0.71227,0.74281,0.60323,0.01587,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,11689.7,0.81991,0.78485,0.01141,0.85658,0.85626,0.86924,0.7152,0.76394,0.60555,0.01701,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,12666.7,0.80955,0.76844,0.01119,0.82129,0.86815,0.8661,0.71439,0.72617,0.61147,0.01556,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,13640,0.80681,0.76598,0.01112,0.86505,0.85972,0.87819,0.71999,0.71617,0.58394,0.01553,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,14613.9,0.79684,0.75142,0.01097,0.85442,0.85979,0.87477,0.72364,0.70292,0.57235,0.01481,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,15586,0.79029,0.74712,0.01088,0.85207,0.86351,0.8755,0.72155,0.70383,0.57534,0.01509,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,16560.7,0.78874,0.73899,0.01088,0.85799,0.87084,0.87974,0.7269,0.68834,0.56412,0.0146,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,17534.9,0.77861,0.72476,0.01065,0.85709,0.88159,0.88002,0.73032,0.6767,0.56127,0.01429,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,18513.3,0.77972,0.73176,0.01072,0.84331,0.86412,0.87838,0.73105,0.69116,0.58,0.01497,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,19486.8,0.78161,0.73355,0.01071,0.84831,0.87229,0.87631,0.7327,0.69355,0.57697,0.01498,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,20456.9,0.77592,0.71573,0.01063,0.82834,0.87179,0.88032,0.73238,0.69875,0.58366,0.01514,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,21432.5,0.77106,0.71626,0.01048,0.85143,0.87381,0.87944,0.73395,0.69313,0.5563,0.01489,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,22409.2,0.76205,0.70871,0.01038,0.84632,0.87796,0.8796,0.73475,0.68275,0.55692,0.0146,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,23384.5,0.75837,0.70259,0.01031,0.85669,0.87105,0.88207,0.73619,0.66884,0.55454,0.01404,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,24361.6,0.75271,0.69194,0.01025,0.86551,0.86781,0.8828,0.73722,0.65509,0.54915,0.01355,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,25333.6,0.75315,0.696,0.01024,0.85886,0.87343,0.88161,0.73751,0.64844,0.55166,0.01337,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,26308.2,0.75407,0.6846,0.01021,0.85848,0.87653,0.88248,0.73887,0.64449,0.54993,0.01328,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,27282.9,0.75044,0.67795,0.01013,0.86288,0.87572,0.88122,0.73847,0.64403,0.54301,0.01327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,28269.4,0.74513,0.67753,0.01006,0.85987,0.87097,0.88196,0.7384,0.64611,0.54746,0.01334,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,29248.7,0.75162,0.68339,0.01024,0.85845,0.88072,0.88255,0.73898,0.64989,0.53761,0.01349,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,30220.9,0.74372,0.67385,0.01007,0.85867,0.88048,0.88321,0.74024,0.64863,0.53791,0.01342,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,31196.8,0.73412,0.66492,0.0099,0.85771,0.88217,0.88302,0.73998,0.64697,0.53842,0.01341,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,32171.2,0.73054,0.66514,0.0098,0.85893,0.87812,0.88147,0.73924,0.64879,0.53842,0.01349,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,33145,0.73424,0.6718,0.00989,0.86437,0.8785,0.8823,0.74016,0.64847,0.536,0.01347,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,34122,0.72778,0.6608,0.00979,0.84703,0.87658,0.88403,0.74078,0.64871,0.54656,0.0135,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,35100.1,0.72553,0.65273,0.00974,0.84699,0.87567,0.88336,0.74107,0.64767,0.55045,0.01351,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,36076.3,0.72416,0.6493,0.00974,0.85158,0.8765,0.88214,0.73983,0.64872,0.54496,0.01356,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,37049.5,0.7176,0.64986,0.0096,0.85323,0.88345,0.88472,0.74088,0.6483,0.54372,0.01356,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,38024.8,0.72599,0.65162,0.00974,0.85402,0.88616,0.88439,0.74098,0.64659,0.54254,0.01349,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,39000.3,0.72393,0.64744,0.0097,0.86133,0.88545,0.88392,0.74109,0.64597,0.5371,0.01344,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,39976.1,0.71967,0.64219,0.00967,0.8602,0.88344,0.88526,0.74114,0.64505,0.53659,0.01338,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,40952.3,0.71251,0.63078,0.00954,0.85896,0.88438,0.88552,0.74192,0.64331,0.5392,0.01335,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,41924.9,0.71147,0.63265,0.00946,0.85585,0.88497,0.88679,0.74202,0.64633,0.53568,0.01343,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,42910.5,0.71144,0.6251,0.00956,0.857,0.8843,0.88611,0.74235,0.64709,0.53343,0.01344,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,43883.4,0.70912,0.61934,0.00948,0.85487,0.88451,0.88618,0.74213,0.6456,0.53447,0.01341,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,44856.5,0.70788,0.62714,0.0094,0.84847,0.88442,0.88666,0.74226,0.64621,0.53628,0.0134,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,45829.3,0.70248,0.61579,0.00935,0.84644,0.88592,0.8865,0.74191,0.64583,0.5383,0.01341,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,46801.6,0.69716,0.62021,0.00922,0.85389,0.88835,0.8874,0.74318,0.64741,0.53492,0.01348,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,47777.6,0.69301,0.60954,0.00927,0.86484,0.8814,0.88785,0.74278,0.64858,0.53319,0.01351,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,48752.5,0.69603,0.61095,0.00924,0.86084,0.88095,0.88787,0.74301,0.6496,0.5319,0.01352,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,49729.5,0.6981,0.61076,0.00926,0.86223,0.88203,0.88632,0.74321,0.64924,0.53118,0.01352,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,50704.8,0.69126,0.60932,0.00922,0.86663,0.88129,0.8867,0.74314,0.64855,0.53172,0.01349,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
