epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,3450.3,2.1648,4.32768,0.04592,0.27264,0.39285,0.25224,0.10639,1.23501,1.34111,0.0324,0.00999892,0.00333297,0.00999892,0.00333297,0.00999892,0.00333297,0.00999892,0.00333297
2,6303.25,1.2332,1.24736,0.02077,0.45559,0.42787,0.32544,0.13505,1.09146,0.93371,0.02826,0.0198009,0.00660031,0.0198009,0.00660031,0.0198009,0.00660031,0.0198009,0.00660031
3,9040.57,1.15514,1.11274,0.01889,0.41683,0.453,0.34473,0.14434,0.96861,0.8755,0.0236,0.0294049,0.00980165,0.0294049,0.00980165,0.0294049,0.00980165,0.0294049,0.00980165
4,11737.7,1.10832,1.07409,0.0176,0.4625,0.46031,0.3529,0.14954,0.90073,0.76811,0.02101,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,14436.9,1.02796,0.98877,0.01581,0.48545,0.46972,0.36375,0.14995,0.86012,0.70741,0.01962,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,17154.2,0.97868,0.94365,0.0148,0.4938,0.4682,0.37253,0.14979,0.83736,0.67591,0.01955,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,19864.5,0.9445,0.90401,0.01412,0.49276,0.47963,0.36207,0.14415,0.80644,0.64404,0.01818,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,22579.9,0.9238,0.87963,0.01369,0.49565,0.47968,0.36713,0.16088,0.76655,0.61776,0.01697,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,25300.5,0.90054,0.84564,0.01324,0.48878,0.48063,0.36005,0.16105,0.77352,0.60007,0.01748,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,28034.6,0.89541,0.84885,0.01312,0.49374,0.4865,0.37659,0.16524,0.75635,0.60779,0.01689,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,30788.2,0.87742,0.8378,0.01276,0.48254,0.48271,0.36519,0.15832,0.75664,0.60957,0.01701,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,33514.6,0.86939,0.80912,0.01263,0.498,0.49273,0.37902,0.17032,0.73357,0.57915,0.01607,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,36251.6,0.86125,0.81053,0.01248,0.48911,0.48841,0.36495,0.15983,0.72966,0.57146,0.01616,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,38990.2,0.85431,0.80269,0.01229,0.50181,0.4906,0.3684,0.16351,0.71947,0.57321,0.01566,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,41727.1,0.84619,0.79186,0.0121,0.4996,0.48369,0.36392,0.16234,0.70704,0.57638,0.01532,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,44467.9,0.84274,0.78386,0.01209,0.50326,0.48051,0.37827,0.16737,0.70204,0.57967,0.01528,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,47219.3,0.83512,0.78274,0.01192,0.49852,0.4961,0.37584,0.16448,0.7051,0.56763,0.01535,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,49969.1,0.83164,0.77365,0.01186,0.50644,0.48454,0.36745,0.16184,0.69988,0.57101,0.01525,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
