epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1007.56,2.79615,4.87676,3.56334,0.12614,0.04215,0.02956,0.0092,3.1704,7.03879,3.61091,0.00999138,0.00333046,0.00999138,0.00333046,0.0766868,0.0700259,0.00999138,0.00333046
2,1998.66,2.35851,3.41082,2.80203,0.15766,0.16881,0.11247,0.04288,2.81149,4.11664,3.31306,0.0199865,0.00666217,0.0199865,0.00666217,0.0533486,0.0400242,0.0199865,0.00666217
3,2982.29,2.15718,3.11474,2.56101,0.24954,0.19105,0.15949,0.06952,2.84982,4.18357,3.31398,0.0299621,0.00998736,0.0299621,0.00998736,0.0299908,0.0100161,0.0299621,0.00998736
4,3964.04,2.04698,2.95964,2.39911,0.62216,0.18777,0.19269,0.09464,2.70383,3.96375,3.24114,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803
5,4950.83,1.93785,2.75373,2.24748,0.46836,0.24636,0.27712,0.11691,2.72705,3.18322,3.20835,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097
6,5934.85,1.88201,2.66341,2.16255,0.44064,0.26581,0.2487,0.10673,2.85935,3.80267,3.27076,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906
7,6913.91,1.86702,2.61807,2.12722,0.20652,0.46014,0.26299,0.11606,2.7328,4.17939,3.20602,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232
8,7895.26,1.85326,2.53911,2.06982,0.40736,0.36331,0.29256,0.12825,2.7509,3.86332,3.18593,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079
9,8876.58,1.84003,2.487,2.03337,0.22915,0.48233,0.32958,0.14174,2.67232,3.67654,3.14059,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449
10,9856.78,1.83589,2.47686,2.02411,0.21854,0.47769,0.28213,0.12563,2.69966,3.77891,3.20425,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345
